,open,high,low,close,vol
0,10.65,10.71,10.46,10.53,161427.79
1,10.45,10.72,10.3,10.69,153647.09
2,10.74,10.78,10.47,10.48,195315.28
3,10.7,10.77,10.42,10.67,169795.11
4,10.54,10.85,10.5,10.72,159397.28
5,10.5,10.64,10.42,10.56,140615.77
6,10.88,11.08,10.42,10.45,239255.64
7,11.13,11.2,10.91,10.93,159591.79
8,11.29,11.29,11.11,11.14,166658.05
9,11.16,11.43,11.11,11.23,255862.61
10,11.25,11.46,11.12,11.19,280264.68
11,11.04,11.23,10.88,11.2,212152.07
12,10.98,11.0,10.76,11.0,189922.43
13,10.95,11.07,10.78,10.82,142482.55
14,11.18,11.25,10.89,10.9,132857.41
15,11.1,11.23,10.86,11.11,170148.28
16,11.22,11.25,11.04,11.12,136912.6
17,11.22,11.43,11.05,11.23,189275.35
18,11.13,11.27,11.03,11.17,187592.13
19,10.8,11.24,10.62,11.12,294176.76
20,10.65,10.93,10.61,10.8,223025.97
21,10.32,10.88,10.32,10.59,335772.68
22,10.02,10.31,10.02,10.22,118862.35
23,10.07,10.29,10.0,10.09,115025.07
24,10.22,10.33,10.08,10.1,137573.83
25,10.24,10.38,10.14,10.27,135502.7
26,10.09,10.38,10.04,10.24,184632.61
27,9.94,10.33,9.93,10.04,194757.3
28,9.74,10.02,9.66,9.98,159931.52
29,9.9,9.92,9.73,9.74,98840.48
30,9.6,10.04,9.57,9.92,148080.56
31,9.52,9.64,9.48,9.6,78354.43
32,9.84,9.84,9.58,9.58,111720.17
33,9.86,9.91,9.69,9.83,104708.92
34,9.8,9.92,9.74,9.88,94543.28
35,9.93,10.03,9.74,9.87,116674.27
36,10.22,10.22,9.93,9.93,121752.26
37,10.47,10.55,10.22,10.29,151823.16
38,10.47,10.58,10.35,10.4,191815.77
39,10.05,10.97,10.03,10.57,422215.23
40,9.93,10.13,9.69,10.12,241404.75
41,9.95,10.06,9.81,9.89,140112.38
42,9.78,9.92,9.72,9.89,122016.79
43,9.88,10.0,9.75,9.78,98367.71
44,10.03,10.09,9.82,9.91,123295.96
45,10.25,10.29,10.05,10.06,128614.65
46,9.92,10.27,9.92,10.23,196446.86
47,9.82,10.02,9.67,9.93,127867.26
48,9.8,9.87,9.61,9.82,117481.28
49,9.99,10.07,9.78,9.83,134533.01
50,9.91,10.06,9.83,9.99,138809.03
51,9.96,9.97,9.75,9.9,133027.62
52,10.2,10.23,9.91,9.97,179050.43
53,10.25,10.4,10.06,10.15,200478.62
54,10.4,10.47,10.12,10.25,196196.57
55,11.04,11.05,10.22,10.44,384457.54
56,10.6,11.18,10.51,10.88,475433.29
57,11.45,11.5,10.4,10.61,591561.24
58,11.45,11.64,11.31,11.45,149358.15
59,11.36,11.48,11.14,11.43,117366.96
60,11.35,11.74,11.35,11.43,101984.93
61,11.48,11.73,11.3,11.3,118760.7
62,11.45,11.57,11.23,11.48,120265.87
63,11.7,11.7,11.31,11.4,174110.45
64,11.77,11.97,11.51,11.54,197744.17
65,11.76,12.07,11.67,11.88,199695.8
66,11.89,11.89,11.54,11.7,156889.61
67,11.99,12.2,11.79,11.92,157003.97
68,11.9,12.2,11.8,11.95,182080.24
69,12.1,12.1,11.75,11.78,178890.54
70,12.43,12.52,11.86,12.0,268951.13
71,12.5,12.74,12.36,12.5,252272.74
72,12.39,13.38,12.39,12.64,348041.49
73,12.54,12.59,12.25,12.26,150659.55
74,12.7,12.87,12.4,12.51,166002.11
75,12.48,12.75,12.28,12.66,256499.8
76,12.51,12.65,12.11,12.29,284885.44
77,12.7,12.84,12.47,12.59,218088.79
78,12.72,12.79,12.4,12.61,183948.79
79,12.89,12.89,12.54,12.66,224544.28
80,12.16,13.21,12.02,12.87,442922.94
81,12.25,12.47,11.9,12.01,277887.64
82,12.25,12.41,12.05,12.25,288882.36
83,12.31,12.68,12.12,12.26,350666.57
84,12.29,12.49,12.1,12.3,326085.07
85,11.88,12.54,11.88,12.29,471567.89
86,12.24,12.52,11.98,12.16,501264.58
87,12.0,12.32,11.73,12.15,691606.85
88,10.42,11.53,10.42,11.53,263803.69
89,10.61,10.61,10.41,10.48,160109.82
90,10.09,10.53,9.94,10.52,252217.93
91,10.18,10.21,10.0,10.05,158508.36
92,9.65,10.2,9.61,10.14,202058.14
93,10.2,10.27,9.86,9.9,172010.35
94,10.01,10.18,10.01,10.05,89256.52
95,9.94,10.22,9.88,10.22,115857.38
96,10.12,10.2,9.85,10.0,174064.01
97,10.01,10.18,9.85,10.06,177793.08
98,10.65,10.69,9.95,9.97,273045.61
99,10.5,10.84,10.27,10.55,300127.0
100,10.29,11.0,10.25,10.73,345486.94
101,10.0,10.37,9.93,10.34,195087.32
102,10.2,10.44,10.2,10.3,136040.54
103,10.24,10.48,10.21,10.28,183583.52
104,10.4,10.57,10.23,10.24,206862.57
105,10.43,10.51,10.36,10.45,159156.94
106,10.57,10.61,10.38,10.48,209917.39
107,10.55,10.72,10.34,10.57,333574.44
108,10.3,10.65,10.25,10.55,391569.44
109,10.18,10.43,10.0,10.31,387066.09
110,10.2,10.4,10.01,10.23,369919.4
111,10.2,10.37,10.05,10.05,349974.81
112,10.34,10.5,10.12,10.12,402103.5
113,10.16,10.24,10.02,10.16,293177.51
114,9.97,10.26,9.93,10.14,450717.22
115,9.88,10.2,9.67,10.0,672649.82
116,8.8,9.75,8.8,9.75,605227.89
117,9.08,9.12,8.79,8.86,199293.74
118,9.22,9.28,8.95,9.06,136930.21
119,8.82,9.22,8.74,9.1,337545.2
120,9.38,9.38,8.63,8.74,345222.77
121,9.34,9.46,9.27,9.37,97829.98
122,9.39,9.51,9.27,9.31,134768.8
123,9.55,9.55,9.3,9.37,176089.08
124,9.63,9.71,9.36,9.57,255275.04
125,9.55,9.71,9.44,9.63,247495.64
126,9.54,9.54,9.17,9.35,203319.5
127,9.31,9.67,9.25,9.57,286593.28
128,9.22,9.44,9.08,9.3,229620.59
129,9.4,9.42,9.07,9.19,196961.79
130,9.19,9.44,9.13,9.36,263122.95
131,9.15,9.36,9.04,9.17,272498.39
132,8.6,9.12,8.59,8.97,331862.17
133,8.72,8.88,8.67,8.67,251383.48
134,8.51,8.64,8.4,8.5,172676.07
135,8.77,8.86,8.37,8.5,279224.7
136,9.1,9.18,8.74,8.77,308915.48
137,8.92,9.22,8.85,9.2,376204.65
138,9.29,9.37,8.8,8.84,447112.4
139,9.19,9.44,8.41,9.42,465544.84
140,9.1,9.3,9.04,9.18,146279.62
141,9.5,9.5,9.05,9.06,230446.84
142,9.72,9.78,9.49,9.52,157921.77
