date,open,high,low,close,volume
2016-01-04,13.81,13.81,12.45,12.51,34872.79
2016-01-05,11.47,12.78,11.47,12.25,41806.45
2016-01-06,12.3,12.67,12.3,12.62,25665.98
2016-01-07,12.5,12.5,11.51,11.56,5638.0
2016-01-08,11.95,12.15,11.7,12.1,35544.3
2016-01-11,11.95,12.91,11.84,12.18,48680.88
2016-01-12,12.17,12.7,12.0,12.44,29152.31
2016-01-13,12.59,12.69,11.85,11.98,27661.98
2016-01-14,11.6,12.42,11.48,12.39,35856.36
2016-01-15,12.36,12.36,11.83,11.97,25435.28
2016-01-18,11.97,12.18,11.83,12.0,19385.05
2016-01-19,12.0,12.4,11.96,12.32,20848.85
2016-01-20,12.3,12.36,12.11,12.22,15337.26
2016-01-21,12.18,12.3,11.86,11.88,18922.84
2016-01-22,11.97,12.1,11.73,12.0,14089.49
2016-01-25,12.1,12.21,11.91,12.05,12063.94
2016-01-26,11.92,12.2,10.92,10.98,23518.99
2016-01-27,11.11,11.25,10.0,10.45,24162.0
2016-01-28,10.32,10.49,9.86,10.02,17083.45
2016-01-29,9.93,10.5,9.88,10.37,34564.24
2016-02-01,10.21,11.41,10.21,10.79,35219.06
2016-02-02,10.8,10.94,10.56,10.89,30983.29
2016-02-03,10.74,10.8,10.5,10.72,17664.79
2016-02-04,10.78,10.9,10.68,10.82,21623.89
2016-02-05,10.95,10.95,10.49,10.53,14531.3
2016-02-15,10.17,10.57,10.03,10.55,16447.61
2016-02-16,10.68,10.97,10.5,10.89,25958.38
2016-02-17,10.89,11.0,10.76,10.96,23993.83
2016-02-18,11.06,11.08,10.85,10.87,25203.41
2016-02-19,10.86,10.93,10.77,10.9,13792.04
2016-02-22,10.97,11.13,10.94,11.1,21996.39
2016-02-23,11.14,11.39,10.97,11.26,38802.96
2016-02-24,11.14,11.24,10.93,11.22,18812.79
2016-02-25,11.2,11.26,10.2,10.41,29863.55
2016-02-26,10.55,10.67,10.33,10.53,13726.75
2016-02-29,10.51,10.63,10.02,10.15,15582.44
2016-03-01,10.2,10.37,10.06,10.31,21014.32
2016-03-02,10.31,11.34,10.22,11.33,48637.15
2016-03-03,11.22,11.38,11.08,11.16,29180.95
2016-03-04,11.15,11.27,10.76,10.94,23099.0
2016-03-07,11.01,11.54,11.01,11.39,29165.74
2016-03-08,11.29,11.38,10.86,11.35,25255.8
2016-03-09,11.24,11.24,10.9,10.96,16321.64
2016-03-10,10.85,11.2,10.85,10.92,12117.39
2016-03-11,10.8,11.16,10.8,11.14,16118.13
2016-03-14,11.13,11.59,11.13,11.31,48562.19
2016-03-15,11.26,11.42,11.0,11.14,28024.44
2016-03-16,11.18,11.3,10.91,11.03,17162.83
2016-03-17,11.06,11.28,10.98,11.25,25252.84
2016-03-18,11.2,11.55,11.1,11.51,42534.54
2016-03-21,11.53,11.87,11.51,11.66,59629.41
2016-03-22,11.6,11.98,11.52,11.96,44671.27
2016-03-23,11.96,12.07,11.73,11.84,25352.4
2016-03-24,11.75,12.06,11.62,11.75,27187.88
2016-03-25,11.7,11.98,11.7,11.94,22911.0
2016-03-28,11.99,12.21,11.8,11.87,28709.32
2016-03-29,11.88,12.14,11.71,11.89,30879.86
2016-03-30,11.85,12.17,11.85,12.11,42217.64
2016-03-31,12.15,12.35,12.08,12.31,38742.68
2016-04-01,12.26,12.38,11.95,12.15,28941.27
2016-04-05,12.2,12.41,12.06,12.34,30671.82
2016-04-06,12.3,12.64,12.15,12.63,36262.03
2016-04-07,12.61,12.74,12.4,12.55,37792.19
2016-04-08,12.39,12.48,12.26,12.38,27277.52
2016-04-11,12.45,12.68,12.45,12.52,28833.27
2016-04-12,12.5,12.6,12.16,12.29,29286.36
2016-04-13,12.36,12.63,12.27,12.42,28927.84
2016-04-14,12.47,12.62,12.4,12.56,22284.01
2016-04-15,12.53,12.82,12.45,12.73,22565.99
2016-04-18,12.58,12.68,12.4,12.53,23661.16
2016-04-19,12.57,12.83,12.45,12.58,18491.45
2016-04-20,12.69,12.73,11.61,11.93,38498.17
2016-04-21,11.74,12.13,11.7,11.75,23975.17
2016-04-22,11.71,11.9,11.66,11.81,15193.57
2016-04-25,11.77,12.0,11.71,11.95,21542.36
2016-04-26,11.97,12.05,11.73,12.0,20342.19
2016-04-27,12.0,12.08,11.85,11.98,21143.97
2016-04-28,11.98,12.0,11.76,11.91,16077.77
2016-04-29,11.82,12.14,11.81,12.06,22301.88
2016-05-03,12.0,13.05,11.97,12.81,69967.18
2016-05-04,12.63,12.95,12.63,12.79,49899.53
2016-05-05,12.68,12.91,12.68,12.83,28382.58
2016-05-06,12.73,13.35,12.3,12.32,60558.65
2016-05-09,12.14,12.39,11.86,12.06,51987.93
2016-05-10,12.0,12.28,11.88,12.05,27409.07
2016-05-11,12.33,12.98,12.07,12.75,114851.36
2016-05-12,12.4,12.49,11.88,12.3,62990.96
2016-05-13,12.22,12.65,11.97,12.0,59106.0
2016-05-16,11.89,11.95,11.46,11.89,55564.57
2016-05-17,11.9,11.94,11.58,11.7,29992.72
2016-05-18,11.65,11.85,11.16,11.22,38542.47
2016-05-19,11.18,11.45,11.07,11.23,25540.1
2016-05-20,11.23,11.43,11.12,11.4,18395.36
2016-05-23,11.44,11.69,11.43,11.62,22264.41
2016-05-24,11.63,12.0,11.55,11.75,46292.47
2016-05-25,11.67,11.85,11.42,11.52,22681.51
2016-05-26,11.57,11.7,11.36,11.69,18888.45
2016-05-27,12.21,12.49,11.93,12.14,112004.9
2016-05-30,12.1,12.1,11.82,11.87,38228.01
2016-05-31,11.81,12.31,11.81,12.29,82671.25
2016-06-01,12.29,12.34,12.17,12.24,62609.1
2016-06-02,12.2,12.37,12.17,12.34,51378.99
2016-06-03,12.34,12.88,12.27,12.66,90706.56
2016-06-06,12.57,12.77,12.52,12.76,66593.66
2016-06-07,12.74,12.77,12.56,12.71,36614.94
2016-06-08,12.96,13.29,12.67,12.69,62369.18
2016-06-13,12.43,12.53,12.1,12.2,48248.74
2016-06-14,12.12,12.43,12.02,12.36,41885.75
2016-06-15,12.28,12.74,12.15,12.64,39262.15
2016-06-16,12.61,12.98,12.5,12.91,53599.04
2016-06-17,12.86,13.13,12.75,12.91,59823.64
2016-06-20,12.88,13.69,12.83,13.56,77220.36
2016-06-21,13.52,13.87,13.21,13.29,74647.94
2016-06-22,13.4,13.95,13.3,13.83,51866.92
2016-06-23,13.84,14.05,13.6,13.66,43214.27
2016-06-24,13.66,13.75,13.17,13.46,45133.38
2016-06-27,13.44,13.99,13.32,13.86,37307.32
2016-06-28,13.84,13.98,13.72,13.81,31978.91
2016-06-29,13.85,13.92,13.71,13.72,26680.49
2016-06-30,13.72,14.69,13.72,14.14,54940.0
2016-07-01,14.04,14.29,13.82,14.08,31124.15
2016-07-04,13.98,14.31,13.85,14.29,36325.04
2016-07-05,14.3,14.5,14.23,14.38,31731.7
2016-07-06,14.25,15.0,14.25,14.98,68296.62
2016-07-07,14.99,15.39,14.4,14.48,111156.3
2016-07-08,14.5,14.79,14.35,14.41,74626.28
2016-07-11,14.38,15.1,14.36,14.78,76445.04
2016-07-12,14.78,15.06,14.41,14.74,65934.82
2016-07-13,14.7,14.72,14.06,14.44,66823.21
2016-07-14,14.46,14.7,14.3,14.38,60465.05
2016-07-15,14.41,14.47,14.15,14.23,37112.55
2016-07-18,14.26,14.3,13.98,14.03,42630.75
2016-07-19,14.05,14.13,13.78,14.11,34550.26
2016-07-20,14.11,14.38,14.03,14.23,36042.63
2016-07-21,14.15,14.41,14.15,14.3,32926.76
2016-07-22,14.22,14.29,13.9,13.94,33051.13
2016-07-25,13.92,14.08,13.84,13.96,18454.0
2016-07-26,13.92,14.09,13.9,14.08,19086.35
2016-07-27,14.13,14.15,13.18,13.4,40431.17
2016-07-28,13.42,13.52,13.25,13.48,24576.57
2016-07-29,13.42,13.55,13.38,13.49,15215.04
2016-08-01,13.5,13.55,13.04,13.18,20865.99
2016-08-02,13.18,13.37,13.15,13.36,13325.32
2016-08-03,13.36,13.51,13.25,13.48,13741.88
2016-08-04,13.54,13.9,13.54,13.88,34515.37
2016-08-05,13.81,13.93,13.73,13.82,20931.67
2016-08-08,13.73,14.08,13.56,14.08,28374.77
2016-08-09,14.08,14.16,13.98,14.15,22106.0
2016-08-10,14.14,14.19,13.99,13.99,14394.01
2016-08-11,14.04,14.04,13.72,13.73,17119.25
2016-08-12,13.81,13.97,13.72,13.94,17423.53
2016-08-15,13.9,14.34,13.9,14.25,32008.7
2016-08-16,14.28,14.32,14.15,14.29,28185.47
2016-08-17,14.29,14.4,14.21,14.3,20386.61
2016-08-18,14.3,14.3,14.06,14.13,18108.89
2016-08-19,14.15,14.36,14.06,14.33,20214.68
2016-08-22,14.36,14.49,14.22,14.23,23607.26
