,股票代码,股票名称,当前价格,万元收益
0,601628,中国人寿,41.15,412.0048602673147
1,601099,太平洋,3.74,37.4331550802139
2,601808,中海油服,15.46,293.79042690815004
3,601107,四川成渝,3.07,336.8078175895766
4,601880,大连港,1.95,321.02564102564105
5,600348,阳泉煤业,5.26,941.8250950570342
6,600557,康缘药业,9.62,340.22869022869025
7,600426,华鲁恒升,40.48,195.99802371541503
8,600487,亨通光电,14.06,323.4708392603129
9,600446,金证股份,15.53,156.14938828074693
10,600039,四川路桥,4.7,1002.127659574468
11,600511,国药股份,42.2,339.45497630331755
12,600565,迪马股份,2.6,624.6153846153845
13,600547,山东黄金,22.83,209.94305738063952
14,600004,白云机场,13.05,-105.74712643678161
15,600597,光明乳业,18.1,267.1270718232044
16,600559,老白干酒,27.24,95.63142437591777
17,600026,中远海能,7.07,1047.5247524752474
18,600587,新华医疗,13.49,407.11638250555967
19,600340,华夏幸福,11.83,1738.5460693153002
20,600507,方大特钢,6.94,1015.5619596541786
21,600438,通威股份,38.23,207.87339785508763
22,600516,方大炭素,6.93,143.5786435786436
23,600521,华海药业,29.02,210.13094417643006
24,600031,三一重工,41.1,365.52311435523114
25,600030,中信证券,30.2,335.89403973509934
26,600990,四创电子,46.7,-97.98715203426124
27,600352,浙江龙盛,14.06,703.3428165007113
28,600459,贵研铂业,22.77,318.8844971453667
29,600050,中国联通,4.58,763.5371179039302
30,600012,皖通高速,6.03,414.9253731343283
31,600460,士兰微,26.36,-7.473444613050076
32,600406,国电南瑞,26.86,220.92330603127328
33,600439,瑞贝卡,2.6,29.230769230769226
34,600993,马应龙,22.23,348.58299595141705
35,600563,法拉电子,101.47,163.88095003449294
36,600549,厦门钨业,15.09,293.5719019218025
37,600020,中原高速,3.27,174.3119266055046
38,600967,内蒙一机,12.08,231.3741721854305
39,600015,华夏银行,6.25,1486.2399999999998
40,600570,恒生电子,95.09,45.314964770217685
41,600271,航天信息,12.84,315.88785046728975
42,600577,精达股份,3.02,624.5033112582781
43,600572,康恩贝,4.41,526.984126984127
44,600489,中金黄金,8.43,332.26571767497035
45,600502,安徽建工,3.73,1283.9142091152814
46,600491,龙元建设,5.58,673.2974910394265
47,600522,中天科技,11.27,477.284826974268
48,600900,长江电力,19.2,467.1354166666667
49,600029,南方航空,5.7,-978.0701754385965
50,600436,片仔癀,279.2,80.31160458452723
51,600409,三友化工,10.43,14.285714285714286
52,601958,金钼股份,5.94,88.88888888888889
53,601038,一拖股份,9.8,497.1428571428571
54,600387,海越能源,6.18,200.16181229773466
55,601866,中远海发,3.44,418.6046511627907
56,600284,浦东建设,6.0,442.50000000000006
57,600535,天士力,14.13,519.8159943382873
58,600499,科达制造,7.82,206.64961636828644
59,600580,卧龙电驱,14.3,357.1328671328671
60,601238,广汽集团,11.58,427.5474956822107
61,601919,中远海控,14.34,314.64435146443515
62,601001,晋控煤业,5.38,1278.624535315985
63,601333,广深铁路,2.21,-712.6696832579186
64,601158,重庆水务,5.11,615.068493150685
65,601666,平煤股份,5.48,967.1532846715328
66,601006,大秦铁路,6.63,998.1900452488688
67,600970,中材国际,6.97,844.619799139168
68,600973,宝胜股份,4.33,385.21939953810625
69,600987,航民股份,5.59,736.314847942755
70,601699,潞安环能,6.06,690.5940594059407
71,601588,北辰实业,2.2,255.45454545454544
72,600000,浦发银行,9.97,1544.2326980942828
73,600007,中国国贸,12.49,487.1897518014412
74,600009,上海机场,72.16,-49.750554323725055
75,600010,包钢股份,1.14,69.2982456140351
76,600011,华能国际,4.47,1598.6577181208056
77,600016,民生银行,5.25,1648.5714285714287
78,600019,宝钢股份,6.4,612.65625
79,600028,中国石化,4.22,607.1090047393365
80,600036,招商银行,51.38,594.7644998053717
81,600038,中直股份,61.07,134.0592762403799
82,600056,中国医药,14.54,911.6231086657496
83,600062,华润双鹤,11.99,705.0041701417849
84,600066,宇通客车,14.25,52.98245614035088
85,600068,葛洲坝,6.64,1149.5481927710844
86,600073,上海梅林,9.65,783.5233160621761
87,600085,同仁堂,24.33,338.3066173448418
88,600089,特变电工,10.28,476.4591439688717
89,600104,上汽集团,24.97,732.5991189427313
90,600109,国金证券,16.12,321.8362282878412
91,600111,北方稀土,14.01,105.638829407566
92,600115,东方航空,4.57,-1293.2166301969364
93,600118,中国卫星,34.17,71.31987123207492
94,600125,铁龙物流,5.66,508.1272084805654
95,600138,中青旅,9.66,-239.3374741200828
96,600141,兴发集团,12.23,312.51022076860176
97,600153,建发股份,8.09,1614.0914709517926
98,600161,天坛生物,41.07,142.19625030435841
99,600162,香江控股,1.85,-77.83783783783784
100,600398,海澜之家,6.48,442.12962962962956
101,600422,昆药集团,8.44,550.3554502369669
102,600486,扬农化工,136.75,241.68190127970752
103,600498,烽火通信,24.48,102.41013071895424
104,600500,中化国际,5.16,893.7984496124031
105,600519,贵州茅台,2070.05,137.86623511509384
106,600528,中铁工业,9.23,678.8732394366197
107,600536,中国软件,79.97,-164.0740277604102
108,600548,深高速,8.66,326.7898383371824
109,600566,济川药业,20.06,586.9890329012961
110,600567,山鹰国际,3.17,673.5015772870663
111,600582,天地科技,3.2,820.0
112,600583,海油工程,4.61,39.91323210412148
113,600585,海螺水泥,55.49,870.4271039826996
114,600596,新安股份,10.18,301.47347740667976
115,600600,青岛啤酒,91.96,247.99913005654636
116,600611,大众交通,3.67,406.53950953678475
117,600612,老凤祥,47.86,643.2511491851233
118,600623,华谊集团,5.52,27.35507246376812
119,600626,申达股份,4.34,-667.2811059907835
120,600635,大众公用,4.07,252.08845208845204
121,600637,东方明珠,9.12,395.72368421052636
122,600641,万业企业,16.22,144.08138101109742
123,600642,申能股份,5.2,921.7307692307693
124,600643,爱建集团,6.93,912.4098124098125
125,600648,外高桥,13.71,312.180889861415
126,600655,豫园股份,11.92,401.9295302013423
