,position_detail_symbol,position_detail_report_date,position_detail_position_symbol,position_detail_name,position_detail_value,position_detail_amount,position_detail_value_percent,position_detail_net_value_percent,position_detail_stat_date,position_detail_type,position_detail_investment_type
0,260108.OF,2007-03-31,601628.SH,中国人寿,7891840.0,418000.0,0.00116,0.11,2006-12-31,股票,0.0
1,260108.OF,2007-03-31,600628.SH,新世界,34650000.0,3300000.0,0.005093,0.48,2006-12-31,股票,0.0
2,260108.OF,2007-03-31,600519.SH,贵州茅台,447933000.0,5100000.0,0.065843,6.17,2006-12-31,股票,0.0
3,260108.OF,2007-03-31,600456.SH,宝钛股份,93055335.0,3001785.0,0.013679,1.28,2006-12-31,股票,0.0
4,260108.OF,2007-03-31,600383.SH,金地集团,107184000.0,5800000.0,0.015755,1.48,2006-12-31,股票,0.0
5,260108.OF,2007-03-31,600276.SH,恒瑞医药,41404903.5,1283475.0,0.006086,0.57,2006-12-31,股票,0.0
6,260108.OF,2007-03-31,600030.SH,中信证券,410700000.0,15000000.0,0.06037,5.66,2006-12-31,股票,0.0
7,260108.OF,2007-03-31,600016.SH,民生银行,476340000.0,46700000.0,0.070019,6.56,2006-12-31,股票,0.0
8,260108.OF,2007-03-31,002032.SZ,苏泊尔,72587917.6,3761032.0,0.01067,1.0,2006-12-31,股票,0.0
9,260108.OF,2007-03-31,000792.SZ,*ST盐湖,141487789.44,6005424.0,0.020798,1.95,2006-12-31,股票,0.0
10,260108.OF,2007-03-31,600694.SH,大商股份,102496067.33,3487447.0,0.015066,1.41,2006-12-31,股票,0.0
11,260108.OF,2007-03-31,600316.SH,洪都航空,84681263.0,4013330.0,0.012448,1.17,2006-12-31,股票,0.0
12,260108.OF,2007-03-31,600118.SH,中国卫星,68639458.1,3449219.0,0.01009,0.95,2006-12-31,股票,0.0
13,260108.OF,2007-03-31,600037.SH,歌华有线,149160000.0,6000000.0,0.021926,2.05,2006-12-31,股票,0.0
14,260108.OF,2007-03-31,600036.SH,招商银行,654400000.0,40000000.0,0.096193,9.01,2006-12-31,股票,0.0
15,260108.OF,2007-03-31,600031.SH,三一重工,72788232.0,2258400.0,0.010699,1.0,2006-12-31,股票,0.0
16,260108.OF,2007-03-31,600028.SH,中国石化,282720000.0,31000000.0,0.041558,3.89,2006-12-31,股票,0.0
17,260108.OF,2007-03-31,000926.SZ,福星股份,65237716.0,4422896.0,0.00959,0.9,2006-12-31,股票,0.0
18,260108.OF,2007-03-31,000768.SZ,中航西飞,140400000.0,12000000.0,0.020638,1.93,2006-12-31,股票,0.0
19,260108.OF,2007-03-31,000709.SZ,河钢股份,100800000.0,18000000.0,0.014817,1.39,2006-12-31,股票,0.0
20,260108.OF,2007-03-31,000538.SZ,云南白药,174026997.16,6991844.0,0.025581,2.4,2006-12-31,股票,0.0
21,260108.OF,2007-03-31,000002.SZ,万科A,355120000.0,23000000.0,0.0522,4.89,2006-12-31,股票,0.0
22,260108.OF,2007-03-31,601006.SH,大秦铁路,267300000.0,33000000.0,0.039291,3.68,2006-12-31,股票,0.0
23,260108.OF,2007-03-31,600583.SH,海油工程,346700000.0,10000000.0,0.050963,4.77,2006-12-31,股票,0.0
24,260108.OF,2007-03-31,600269.SH,赣粤高速,61977000.0,7300000.0,0.00911,0.85,2006-12-31,股票,0.0
25,260108.OF,2007-03-31,600054.SH,黄山旅游,71064000.0,6300000.0,0.010446,0.98,2006-12-31,股票,0.0
26,260108.OF,2007-03-31,600022.SH,山东钢铁,222720000.0,29000000.0,0.032738,3.07,2006-12-31,股票,0.0
27,260108.OF,2007-03-31,600019.SH,宝钢股份,216500000.0,25000000.0,0.031824,2.98,2006-12-31,股票,0.0
28,260108.OF,2007-03-31,600005.SH,武钢股份,381600000.0,60000000.0,0.056093,5.25,2006-12-31,股票,0.0
29,260108.OF,2007-03-31,600000.SH,浦发银行,426200000.0,20000000.0,0.062649,5.87,2006-12-31,股票,0.0
30,260108.OF,2007-03-31,000888.SZ,峨眉山A,35483000.0,3700000.0,0.005216,0.49,2006-12-31,股票,0.0
31,260108.OF,2007-03-31,000825.SZ,太钢不锈,406484415.86,31124381.0,0.059751,5.6,2006-12-31,股票,0.0
32,260108.OF,2007-03-31,000001.SZ,平安银行,283272606.15,19576545.0,0.041639,3.9,2006-12-31,股票,0.0
33,260108.OF,2007-08-28,601628.SH,中国人寿,206289980.0,5018000.0,0.043284,3.86,2007-06-30,股票,0.0
34,260108.OF,2007-08-28,601318.SH,中国平安,143020000.0,2000000.0,0.030009,2.67,2007-06-30,股票,0.0
35,260108.OF,2007-08-28,601006.SH,大秦铁路,196820000.0,13000000.0,0.041297,3.68,2007-06-30,股票,0.0
36,260108.OF,2007-08-28,600519.SH,贵州茅台,478720000.0,4000000.0,0.100446,8.95,2007-06-30,股票,0.0
37,260108.OF,2007-08-28,600396.SH,金山股份,129339000.0,6300000.0,0.027138,2.42,2007-06-30,股票,0.0
38,260108.OF,2007-08-28,600037.SH,歌华有线,209440000.0,8000000.0,0.043945,3.92,2007-06-30,股票,0.0
39,260108.OF,2007-08-28,600030.SH,中信证券,317820000.0,6000000.0,0.066685,5.94,2007-06-30,股票,0.0
40,260108.OF,2007-08-28,002024.SZ,苏宁易购,140875820.56,2999911.0,0.029559,2.63,2007-06-30,股票,0.0
41,260108.OF,2007-08-28,000768.SZ,中航西飞,154350000.0,5000000.0,0.032386,2.89,2007-06-30,股票,0.0
42,260108.OF,2007-08-28,000001.SZ,平安银行,192640000.0,7000000.0,0.04042,3.6,2007-06-30,股票,0.0
43,260108.OF,2007-08-28,600675.SH,中华企业,68126411.82,2999842.0,0.014294,1.27,2007-06-30,股票,0.0
44,260108.OF,2007-08-28,600607.SH,上实医药,51771401.12,3085304.0,0.010863,0.97,2007-06-30,股票,0.0
45,260108.OF,2007-08-28,600583.SH,海油工程,253400000.0,7000000.0,0.053169,4.74,2007-06-30,股票,0.0
46,260108.OF,2007-08-28,600276.SH,恒瑞医药,67860000.0,1500000.0,0.014238,1.27,2007-06-30,股票,0.0
47,260108.OF,2007-08-28,600054.SH,黄山旅游,95100000.0,5000000.0,0.019954,1.78,2007-06-30,股票,0.0
48,260108.OF,2007-08-28,600022.SH,山东钢铁,110208000.0,8400000.0,0.023124,2.06,2007-06-30,股票,0.0
49,260108.OF,2007-08-28,002032.SZ,苏泊尔,162900000.0,4500000.0,0.03418,3.05,2007-06-30,股票,0.0
50,260108.OF,2007-08-28,000963.SZ,华东医药,93384834.62,7005614.0,0.019594,1.75,2007-06-30,股票,0.0
51,260108.OF,2007-08-28,000829.SZ,天音控股,184250000.0,5500000.0,0.03866,3.45,2007-06-30,股票,0.0
52,260108.OF,2007-08-28,000825.SZ,太钢不锈,320960000.0,16000000.0,0.067344,6.0,2007-06-30,股票,0.0
53,260108.OF,2007-08-28,000709.SZ,河钢股份,38338875.36,2999912.0,0.008044,0.72,2007-06-30,股票,0.0
54,260108.OF,2007-08-28,000522.SZ,白云山A,49980000.0,6000000.0,0.010487,0.93,2007-06-30,股票,0.0
55,260108.OF,2007-08-28,000157.SZ,中联重科,192648648.5,5003861.0,0.040422,3.6,2007-06-30,股票,0.0
