,top_detail_symbol,top_detail_position_symbol,top_detail_name,top_detail_type,top_detail_amount,top_detail_value,top_detail_position_change,top_detail_value_percent,top_detail_net_value_percent,top_detail_report_date,top_detail_stat_date
0,260108.OF,125024.SZ,招商转债,债券,19100.0,2438800.0,,1.364099,0.04,2006-10-27,2006-09-30
1,260108.OF,000538.SZ,云南白药    ,股票,4466687.0,82544375.76,,3.461537,1.38,2006-10-27,2006-09-30
2,260108.OF,601006.SH,大秦铁路    ,股票,28337000.0,178523100.0,,7.48645,2.98,2006-10-27,2006-09-30
3,260108.OF,600694.SH,S大商       ,股票,1935323.0,80896501.4,,3.392433,1.35,2006-10-27,2006-09-30
4,260108.OF,600583.SH,海油工程    ,股票,6393737.0,144370581.46,,6.054248,2.41,2006-10-27,2006-09-30
5,260108.OF,600519.SH,贵州茅台    ,股票,4520118.0,214389196.74,,8.990511,3.58,2006-10-27,2006-09-30
6,260108.OF,600316.SH,洪都航空    ,股票,2906301.0,101226463.83,,4.244979,1.69,2006-10-27,2006-09-30
7,260108.OF,600036.SH,招商银行    ,股票,30120022.0,299393018.68,,12.555186,5.0,2006-10-27,2006-09-30
8,260108.OF,600030.SH,中信证券    ,股票,8068941.0,120792046.77,,5.065471,2.02,2006-10-27,2006-09-30
9,260108.OF,600028.SH,中国石化,股票,19167170.0,130145084.3,,5.457695,2.17,2006-10-27,2006-09-30
10,260108.OF,600009.SH,上海机场    ,股票,6104694.0,84733152.72,,3.553324,1.41,2006-10-27,2006-09-30
11,260108.OF,0601003.IB,06央行票据03,债券,1000000.0,97969400.0,,54.797418,1.64,2006-10-27,2006-09-30
12,260108.OF,0601001.IB,06央行票据01,债券,800000.0,78376600.0,,43.838538,1.31,2006-10-27,2006-09-30
13,260108.OF,000825.SZ,太钢不锈,股票,31124381.0,406484415.86,,5.975071,5.6,2007-01-21,2006-12-31
14,260108.OF,000002.SZ,万  科Ａ,股票,23000000.0,355120000.0,,5.220046,4.89,2007-01-21,2006-12-31
15,260108.OF,000001.SZ,S深发展A,股票,19576545.0,283272606.15,,4.163933,3.9,2007-01-21,2006-12-31
16,260108.OF,600583.SH,海油工程,股票,10000000.0,346700000.0,,5.096277,4.77,2007-01-21,2006-12-31
17,260108.OF,600519.SH,贵州茅台,股票,5100000.0,447933000.0,,6.58434,6.17,2007-01-21,2006-12-31
18,260108.OF,600036.SH,招商银行,股票,40000000.0,654400000.0,,9.619278,9.01,2007-01-21,2006-12-31
19,260108.OF,600030.SH,中信证券,股票,15000000.0,410700000.0,,6.037038,5.66,2007-01-21,2006-12-31
20,260108.OF,600016.SH,民生银行,股票,46700000.0,476340000.0,,7.001905,6.56,2007-01-21,2006-12-31
21,260108.OF,600005.SH,武钢股份,股票,60000000.0,381600000.0,,5.609285,5.25,2007-01-21,2006-12-31
22,260108.OF,600000.SH,浦发银行,股票,20000000.0,426200000.0,,6.264878,5.87,2007-01-21,2006-12-31
23,260108.OF,000825.SZ,太钢不锈,股票,20000000.0,373800000.0,,6.702459,6.33,2007-04-19,2007-03-31
24,260108.OF,000768.SZ,西飞国际,股票,10000000.0,188500000.0,,3.379918,3.19,2007-04-19,2007-03-31
25,260108.OF,601628.SH,中国人寿,股票,5018000.0,176784140.0,,3.169846,2.99,2007-04-19,2007-03-31
26,260108.OF,601006.SH,大秦铁路,股票,25000000.0,321250000.0,,5.760206,5.44,2007-04-19,2007-03-31
27,260108.OF,600583.SH,海油工程,股票,9000000.0,308430000.0,,5.530335,5.22,2007-04-19,2007-03-31
28,260108.OF,600519.SH,贵州茅台,股票,5100000.0,481950000.0,,8.641653,8.16,2007-04-19,2007-03-31
29,260108.OF,600036.SH,招商银行,股票,21000000.0,364980000.0,,6.544311,6.18,2007-04-19,2007-03-31
30,260108.OF,600030.SH,中信证券,股票,8000000.0,344240000.0,,6.17243,5.83,2007-04-19,2007-03-31
31,260108.OF,600016.SH,民生银行,股票,30000000.0,373200000.0,,6.6917,6.32,2007-04-19,2007-03-31
32,260108.OF,600000.SH,浦发银行,股票,12000000.0,320640000.0,,5.749268,5.43,2007-04-19,2007-03-31
33,260108.OF,126005.SH,07武钢债,债券,150800.0,15078000.0,,100.0,0.26,2007-04-18,2007-03-31
34,260108.OF,000825.SZ,太钢不锈,股票,16000000.0,320960000.0,,6.734423,6.0,2007-07-20,2007-06-30
35,260108.OF,000157.SZ,中联重科,股票,5003861.0,192648648.5,,4.042178,3.6,2007-07-20,2007-06-30
36,260108.OF,000001.SZ,深发展Ａ,股票,7000000.0,192640000.0,,4.041996,3.6,2007-07-20,2007-06-30
37,260108.OF,601628.SH,中国人寿,股票,5018000.0,206289980.0,,4.328402,3.86,2007-07-20,2007-06-30
38,260108.OF,601006.SH,大秦铁路,股票,13000000.0,196820000.0,,4.129702,3.68,2007-07-20,2007-06-30
39,260108.OF,600583.SH,海油工程,股票,7000000.0,253400000.0,,5.31687,4.74,2007-07-20,2007-06-30
40,260108.OF,600519.SH,贵州茅台,股票,4000000.0,478720000.0,,10.044562,8.95,2007-07-20,2007-06-30
41,260108.OF,600037.SH,歌华有线,股票,8000000.0,209440000.0,,4.394496,3.92,2007-07-20,2007-06-30
42,260108.OF,600036.SH,招商银行,股票,15000000.0,368700000.0,,7.736109,6.89,2007-07-20,2007-06-30
43,260108.OF,600030.SH,中信证券,股票,6000000.0,317820000.0,,6.668539,5.94,2007-07-20,2007-06-30
44,260108.OF,000968.SZ,煤 气 化,股票,17054645.0,494073065.65,,4.43531,4.15,2007-10-26,2007-09-30
45,260108.OF,000825.SZ,太钢不锈,股票,18000389.0,550991907.29,,4.946272,4.63,2007-10-26,2007-09-30
46,260108.OF,000709.SZ,唐钢股份,股票,24000000.0,629280000.0,,5.649067,5.28,2007-10-26,2007-09-30
47,260108.OF,000002.SZ,万  科Ａ,股票,17677899.0,533872549.8,,4.792591,4.48,2007-10-26,2007-09-30
48,260108.OF,000001.SZ,深发展Ａ,股票,15009913.0,600096321.74,,5.387084,5.04,2007-10-26,2007-09-30
49,260108.OF,600808.SH,马钢股份,股票,36000000.0,483840000.0,,4.343448,4.06,2007-10-26,2007-09-30
50,260108.OF,600519.SH,贵州茅台,股票,4000000.0,601880000.0,,5.403096,5.05,2007-10-26,2007-09-30
51,260108.OF,600036.SH,招商银行,股票,17529869.0,670868086.63,,6.022405,5.63,2007-10-26,2007-09-30
52,260108.OF,600030.SH,中信证券,股票,7066010.0,683353827.1,,6.13449,5.74,2007-10-26,2007-09-30
53,260108.OF,600019.SH,宝钢股份,股票,30009688.0,545876224.72,,4.900349,4.58,2007-10-26,2007-09-30
54,260108.OF,000968.SZ,煤 气 化,股票,15000000.0,500100000.0,,6.141912,4.98,2008-01-21,2007-12-31
55,260108.OF,000825.SZ,太钢不锈,股票,15000000.0,371550000.0,,4.563142,3.7,2008-01-21,2007-12-31
56,260108.OF,000709.SZ,唐钢股份,股票,17000000.0,424660000.0,,5.215405,4.23,2008-01-21,2007-12-31
57,260108.OF,000002.SZ,万  科Ａ,股票,12000000.0,346080000.0,,4.250336,3.45,2008-01-21,2007-12-31
58,260108.OF,600583.SH,海油工程,股票,7068000.0,368101440.0,,4.520789,3.66,2008-01-21,2007-12-31
59,260108.OF,600519.SH,贵州茅台,股票,4000000.0,920000000.0,,11.298858,9.16,2008-01-21,2007-12-31
60,260108.OF,600036.SH,招商银行,股票,17000000.0,673710000.0,,8.27408,6.71,2008-01-21,2007-12-31
61,260108.OF,600030.SH,中信证券,股票,6000000.0,535620000.0,,6.578146,5.33,2008-01-21,2007-12-31
62,260108.OF,600019.SH,宝钢股份,股票,20000000.0,348800000.0,,4.283741,3.47,2008-01-21,2007-12-31
63,260108.OF,600009.SH,上海机场,股票,8009722.0,300524769.44,,3.690855,2.99,2008-01-21,2007-12-31
64,260108.OF,000968.SZ,煤 气 化,股票,12571005.0,295544327.55,,6.249066,4.22,2008-04-23,2008-03-31
65,260108.OF,000825.SZ,太钢不锈,股票,12000000.0,201000000.0,,4.249996,2.87,2008-04-23,2008-03-31
66,260108.OF,000157.SZ,中联重科,股票,5000000.0,220000000.0,,4.651737,3.14,2008-04-23,2008-03-31
67,260108.OF,000001.SZ,深发展Ａ,股票,7000000.0,197400000.0,,4.173877,2.82,2008-04-23,2008-03-31
68,260108.OF,600583.SH,海油工程,股票,8127444.0,369798702.0,,7.819119,5.28,2008-04-23,2008-03-31
69,260108.OF,600519.SH,贵州茅台,股票,3100000.0,581901000.0,,12.303865,8.31,2008-04-23,2008-03-31
70,260108.OF,600037.SH,歌华有线,股票,8000000.0,163200000.0,,3.450743,2.33,2008-04-23,2008-03-31
71,260108.OF,600036.SH,招商银行,股票,15500000.0,498635000.0,,10.543268,7.12,2008-04-23,2008-03-31
72,260108.OF,600030.SH,中信证券,股票,4500000.0,236250000.0,,4.995331,3.37,2008-04-23,2008-03-31
73,260108.OF,600009.SH,上海机场,股票,8009722.0,194636244.6,,4.115439,2.78,2008-04-23,2008-03-31
74,260108.OF,0801036.IB,08央行票据36,债券,4000000.0,396600000.0,,50.272531,5.66,2008-04-18,2008-03-31
